ID,NOMBRE,CEDULA,EDAD,JORNADA
1,DEIVID NICOLAS CORTES,21351221231,25,TARDE
2,CARLOS EDUARDO ANGARITA,575245254,21,NOCHE
3,DIEGO ANDRES REYES SASTOQUE,775721757,36,MAÑANA
4,EDWIN  ALEJANDRO SANCHEZ,75757257,45,NOCHE
5,ILBER DARIO  SAZA,75452754,25,TARDE
6,FREDDY ALBERTO MOYANO,343124212,18,MAÑANA
7,ELIZABETH SAENZ,213213543,64,NOCHE
8,JOSE ALEJANDRO ALVAREZ,772724214,74,MAÑANA
9,JUAN GABRIEL VELANDIA,752742754,23,NOCHE
10,SUJEY LORENA VILLEGAS PANTOJA,73427817,52,TARDE
11,HERLY JOHANA VILLAMIZAR CARREÑO,142717541,21,NOCHE
12,CRISTINA ISABEL REALES,41213141,34,MAÑANA
13,MARLY THAIANA CUBILLOS,213254135,45,NOCHE
14,LIDIA SMITH AMADO DUGARTE,2132132132,51,NOCHE
15,YERSON DARIO TORRES ALVAREZ,123135021,31,MAÑANA
16,CARLOS JOSE ARIAS,1003523221,21,TARDE
17,JOSE LUIS SOTO,1035413551,31,MAÑANA
18,KEVIN YESID MENDEZ,10032120,28,TARDE
19,CLAUDIA VIVIANA OROZCO,10203121,23,MAÑANA
20,WILMAR  MARQUEZ TOCANCHON,1032165412,34,NOCHE
